nonlinearity,point,accuracy_pct,cd_seconds,spice_sim_seconds,speedup,p90_relative_error
Single diode,Initial,8.6,22.9,453.2,19.8,1.58e-05
Single diode,50,49.4,18.9,456.9,24.1,1.18e-05
Single diode,70,70.6,18.9,478.2,25.3,1.20e-05
Single diode,80,78.6,18.5,493.3,26.6,1.25e-05
Single diode,90,89.7,17.8,494.8,27.8,1.34e-05
Single diode,Best,93.9,16.4,463.6,28.2,1.08e-05
Double diode,Initial,8.3,22.4,435.8,19.5,1.62e-05
Double diode,50,52.8,14.3,467.3,32.8,1.23e-05
Double diode,70,68.9,13.7,496.1,36.3,1.28e-05
Double diode,80,78.6,13.7,513.1,37.4,1.28e-05
Double diode,90,89.7,13.3,585.4,43.9,1.27e-05
Double diode,Best,94.4,13.4,588.5,44.0,1.25e-05
PWL I-V,Initial,8.3,26.9,425.0,15.8,7.26e-05
PWL I-V,50,53.1,19.0,458.0,24.1,5.24e-05
PWL I-V,70,68.9,18.8,454.3,24.2,4.77e-05
PWL I-V,80,78.6,22.4,473.7,21.1,4.12e-05
PWL I-V,90,89.7,14.0,530.8,37.8,1.68e-05
PWL I-V,Best,94.4,12.4,546.8,44.2,1.36e-05
