depth,width,coord_user_time_seconds,coord_validation_total_seconds,coord_accuracy,coord_avg_iterations,coord_source_rel_path,coord_metadata_rel_path,spice_netlist_seconds,spice_simulation_seconds,spice_total_seconds,spice_timestamp,spice_source_rel_path,p50_rel_l1_node_weighted,p90_rel_l1_node_weighted,p99_rel_l1_node_weighted,mean_mae_node_weighted,error_summary_rel_path,note
1,64,5.9232039004564285,5.9232039004564285,0.95,9.0,cd_metadata/double_diode_exponential__hidden_1__hidden_64/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_1__hidden_64/validation_metadata.json,0.03818162903189659,21.012701522093266,22.06463937018998,2026-03-04 18:02:51,hidden_1/hidden_64/validation/validation_states_spice_layers_metadata.json,1.2549861404946045e-05,1.4629384112930124e-05,1.5804784816103903e-05,9.721722943161897e-06,errors/double_diode_exponential__hidden_1__hidden_64/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
1,128,4.767357988283038,4.767357988283038,0.9167000000000001,8.972222222222221,cd_metadata/double_diode_exponential__hidden_1__hidden_128/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_1__hidden_128/validation_metadata.json,0.0796945400070399,72.5132916169241,73.60776480892673,2026-02-23 16:40:58,hidden_1/hidden_128/validation_states_spice_layers_metadata.json,8.69160240337449e-06,9.949713560947013e-06,1.0651629782940813e-05,1.87388878544988e-06,errors/double_diode_exponential__hidden_1__hidden_128/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
1,256,5.946057243272662,5.946057243272662,0.9556,9.0,cd_metadata/double_diode_exponential__hidden_1__hidden_256/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_1__hidden_256/validation_metadata.json,0.1700953480321914,99.31486064987257,100.49945606896654,2026-03-04 18:06:01,hidden_1/hidden_256/validation/validation_states_spice_layers_metadata.json,1.1335664756139733e-05,1.2551255418012064e-05,1.343252687571352e-05,6.3715246780682165e-06,errors/double_diode_exponential__hidden_1__hidden_256/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
1,512,7.815300757996738,7.815300757996738,0.9611,9.0,cd_metadata/double_diode_exponential__hidden_1__hidden_512/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_1__hidden_512/validation_metadata.json,0.30696118995547295,308.2582849350292,309.58070794213563,2026-03-04 18:01:04,hidden_1/hidden_512/validation/validation_states_spice_layers_metadata.json,1.1612864369550436e-05,1.2465699447067399e-05,1.3004436612017016e-05,6.841149282441313e-06,errors/double_diode_exponential__hidden_1__hidden_512/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
1,1024,8.323680674657226,8.323680674657226,0.95,9.0,cd_metadata/double_diode_exponential__hidden_1__hidden_1024/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_1__hidden_1024/validation_metadata.json,0.625414727954194,1105.7011419390328,1107.3490477870218,2026-03-04 17:55:53,hidden_1/hidden_1024/validation/validation_states_spice_layers_metadata.json,1.2132480844809411e-05,1.2742411463990392e-05,1.3221999365921412e-05,7.881040828414806e-06,errors/double_diode_exponential__hidden_1__hidden_1024/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
2,64,14.67768124025315,14.67768124025315,0.9389,16.75,cd_metadata/double_diode_exponential__hidden_2__hidden_64/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_2__hidden_64/validation_metadata.json,0.06797531503252685,67.3464512010105,68.51403796602972,2026-03-04 19:52:34,hidden_2/hidden_64/validation/validation_states_spice_layers_metadata.json,1.3370754390866726e-05,1.7628393070412995e-05,2.066347543252591e-05,1.8306746049015794e-06,errors/double_diode_exponential__hidden_2__hidden_64/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
2,128,14.702439465560019,14.702439465560019,0.9444,15.847222222222221,cd_metadata/double_diode_exponential__hidden_2__hidden_128/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_2__hidden_128/validation_metadata.json,0.13988216302823275,548.799074987066,549.9558434470091,2026-02-26 18:44:33,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers_metadata.json,1.1676097631988055e-05,1.2459982658328006e-05,1.2954564178800964e-05,1.4139648744771716e-05,errors/double_diode_exponential__hidden_2__hidden_128/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
2,256,16.778028641827404,16.778028641827404,0.9361,18.033333333333335,cd_metadata/double_diode_exponential__hidden_2__hidden_256/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_2__hidden_256/validation_metadata.json,0.49637495703063905,4310.639295357047,4312.23443189892,2026-03-04 21:04:27,hidden_2/hidden_256/validation_states_spice_layers_metadata.json,1.64906390146431e-05,2.0202539953113604e-05,2.3455184488675593e-05,1.5611610743416586e-06,errors/double_diode_exponential__hidden_2__hidden_256/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
2,512,29.477647746913135,29.477647746913135,0.9333,26.522222222222222,cd_metadata/double_diode_exponential__hidden_2__hidden_512/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_2__hidden_512/validation_metadata.json,1.648036007070914,51765.679935642285,51768.449848369,2026-03-13 02:53:28,hidden_2/hidden_512/20260311-170652_double_diode_exponential/validation_states_spice_layers_metadata.json,2.2955776712514502e-05,2.6923844157675913e-05,2.946338877894498e-05,1.7628631470949062e-06,errors/double_diode_exponential__hidden_2__hidden_512/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
2,1024,55.05266457796097,55.05266457796097,0.8611,31.730555555555554,cd_metadata/double_diode_exponential__hidden_2__hidden_1024/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_2__hidden_1024/validation_metadata.json,,,,,,,,,,,corrected CD-only no SPICE reference
3,64,27.568683123216033,27.568683123216033,0.9194,9.577777777777778,cd_metadata/double_diode_exponential__hidden_3__hidden_64/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_3__hidden_64/validation_metadata.json,0.06501024682074785,137.8485182048753,138.92970724403858,2026-05-18/19,<source-tree>/labs/figures_for_paper_digits/timings/double_diode_replacement_reruns_maxicao_20260518-124819/double_diode_exponential_3x64/20260518-124823_double_diode_exponential/validation_states_spice_layers_metadata.json,1.2099583856587373e-05,1.2784065671213276e-05,1.3235143619743407e-05,2.200654618127967e-05,errors/double_diode_exponential__hidden_3__hidden_64/cross_layer_rel_l1_percentiles_node_weighted.json,current replacement corrected CD
3,128,21.921956384088844,21.921956384088844,0.9611,16.158333333333335,cd_metadata/double_diode_exponential__hidden_3__hidden_128/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_3__hidden_128/validation_metadata.json,0.20745449303649366,1182.2824833269697,1183.5095278018853,2026-02-26 18:29:47,hidden_3/hidden_128/excellent_trained_amp4/validation_states_spice_layers_metadata.json,1.1023393399557917e-05,1.1884189835438427e-05,1.3164903283757211e-05,1.0923256702952566e-05,errors/double_diode_exponential__hidden_3__hidden_128/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
3,256,47.41666790610179,47.41666790610179,0.8277777777777777,16.644444444444446,hidden_3/hidden_256/maxicao_timings/20260429-113044_double_diode_exponential/validation_runtime.log,hidden_3/hidden_256/maxicao_timings/20260429-113044_double_diode_exponential/validation_metadata.json,0.6914491853676736,14360.108733910136,14361.823428260162,2026-03-16 16:11:32,hidden_3/hidden_256/validation_states_spice_layers_metadata.json,1.2134083913161787e-05,1.2686052573413274e-05,1.3202605508015244e-05,1.0319415720580175e-05,errors/double_diode_exponential__hidden_3__hidden_256/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
3,512,78.67486318852752,78.67486318852752,0.9194,51.93611111111111,cd_metadata/double_diode_exponential__hidden_3__hidden_512/validation_runtime.log,cd_metadata/double_diode_exponential__hidden_3__hidden_512/validation_metadata.json,,,,,,,,,,,corrected CD-only no SPICE reference
