depth,width,coord_user_time_seconds,coord_validation_total_seconds,coord_accuracy,coord_avg_iterations,coord_source_rel_path,coord_metadata_rel_path,spice_netlist_seconds,spice_simulation_seconds,spice_total_seconds,spice_timestamp,spice_source_rel_path,p50_rel_l1_node_weighted,p90_rel_l1_node_weighted,p99_rel_l1_node_weighted,mean_mae_node_weighted,error_summary_rel_path,note
1,64,7.245743295177817,7.245743295177817,0.9139,11.972222222222221,cd_metadata/single_diode_exponential__hidden_1__hidden_64/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_1__hidden_64/validation_metadata.json,0.0339289428666234,58.25535681191832,59.305170397274196,2026-05-18/19,<source-tree>/labs/figures_for_paper_digits/timings/high_accuracy_replacement_reruns_maxicao_20260518-114011/single_diode_exponential_1x64/20260518-114015_single_diode_exponential/validation_states_spice_layers_metadata.json,1.2726722557755487e-05,1.5541532226706025e-05,1.80510290087901e-05,7.290407714375069e-06,errors/single_diode_exponential__hidden_1__hidden_64/cross_layer_rel_l1_percentiles_node_weighted.json,current replacement
1,128,7.678630887996405,7.678630887996405,0.95,9.0,cd_metadata/single_diode_exponential__hidden_1__hidden_128/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_1__hidden_128/validation_metadata.json,0.07043902110308409,29.80670617800206,30.891481618396938,2026-03-17 18:44:30,hidden_1/hidden_128/validation_states_spice_layers_metadata.json,1.5054379625322689e-05,1.6141491180403056e-05,1.7065126493845526e-05,1.8574508165669157e-05,errors/single_diode_exponential__hidden_1__hidden_128/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
1,256,5.889018357731402,5.889018357731402,0.9556,5.877777777777778,cd_metadata/single_diode_exponential__hidden_1__hidden_256/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_1__hidden_256/validation_metadata.json,0.15093818493187428,68.21729648998007,69.38601060211658,2026-03-13 11:16:17,hidden_1/hidden_256/validation_states_spice_layers_metadata.json,1.5544758336115e-05,1.636078529540565e-05,1.7008958154866965e-05,1.878841706321934e-05,errors/single_diode_exponential__hidden_1__hidden_256/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
1,512,6.013277519494295,6.013277519494295,0.9639,5.469444444444444,cd_metadata/single_diode_exponential__hidden_1__hidden_512/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_1__hidden_512/validation_metadata.json,0.2907413858920336,196.95274609187618,198.34174450021237,2026-03-13 11:19:36,hidden_1/hidden_512/validation_states_spice_layers_metadata.json,1.0955888309981236e-05,1.1681781091374962e-05,1.2324224728352332e-05,5.603816391152659e-06,errors/single_diode_exponential__hidden_1__hidden_512/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
1,1024,6.0049543753266335,6.0049543753266335,0.975,5.105555555555555,cd_metadata/single_diode_exponential__hidden_1__hidden_1024/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_1__hidden_1024/validation_metadata.json,0.5875228876248002,792.1592640378512,793.8469280702993,2026-03-13 11:32:51,hidden_1/hidden_1024/validation_states_spice_layers_metadata.json,1.0756369210771385e-05,1.1361879585504223e-05,1.203690147003218e-05,5.780894847681815e-06,errors/single_diode_exponential__hidden_1__hidden_1024/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
2,64,17.869158640038222,17.869158640038222,0.8556,15.172222222222222,cd_metadata/single_diode_exponential__hidden_2__hidden_64/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_2__hidden_64/validation_metadata.json,0.049863146618008614,75.59304069913924,76.6610030089505,2026-03-17 18:43:58,hidden_2/hidden_64/validation_states_spice_layers_metadata.json,1.1754778033763392e-05,1.3910690885327073e-05,1.633232321869456e-05,4.110582433934714e-06,errors/single_diode_exponential__hidden_2__hidden_64/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
2,128,17.491747681051493,17.491747681051493,0.9389,14.877777777777778,cd_metadata/single_diode_exponential__hidden_2__hidden_128/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_2__hidden_128/validation_metadata.json,0.15944445901550353,476.17201548302546,477.83643113891594,2026-02-25 10:39:48,hidden_2/hidden_128/validation_states_spice_layers_metadata.json,9.680207065881174e-06,1.078949246537758e-05,1.210302756247464e-05,4.587890991576341e-06,errors/single_diode_exponential__hidden_2__hidden_128/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
2,256,24.605778952129185,24.605778952129185,0.8944,21.455555555555556,cd_metadata/single_diode_exponential__hidden_2__hidden_256/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_2__hidden_256/validation_metadata.json,0.4218200580216944,4291.549898256082,4293.154445757158,2026-03-17 18:42:40,hidden_2/hidden_256/validation_states_spice_layers_metadata.json,1.8181854224156492e-05,2.0558013715895263e-05,2.213703597229747e-05,1.9262830340919558e-06,errors/single_diode_exponential__hidden_2__hidden_256/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
2,512,39.36305310809985,39.36305310809985,0.8361,31.775,cd_metadata/single_diode_exponential__hidden_2__hidden_512/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_2__hidden_512/validation_metadata.json,1.531405811663717,49267.84017601516,49270.399975730106,2026-03-24 02:28:30,hidden_2/hidden_512/validation_states_spice_layers_metadata.json,3.170335529260898e-05,3.813103517614537e-05,4.1071876465069786e-05,1.9042811539749805e-06,errors/single_diode_exponential__hidden_2__hidden_512/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
2,1024,48.47908379416913,48.47908379416913,0.9306,27.586111111111112,cd_metadata/single_diode_exponential__hidden_2__hidden_1024/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_2__hidden_1024/validation_metadata.json,,,,,,,,,,,April29 timing CD
3,64,162.03571626730263,162.03571626730263,0.8944,80.79444444444445,cd_metadata/single_diode_exponential__hidden_3__hidden_64/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_3__hidden_64/validation_metadata.json,0.06625239923596382,185.26921815425158,186.35230378434062,2026-05-18/19,<source-tree>/labs/figures_for_paper_digits/timings/high_accuracy_replacement_reruns_maxicao_20260518-114011/single_diode_exponential_3x64/20260518-114128_single_diode_exponential/validation_states_spice_layers_metadata.json,6.622863440338255e-05,9.130020219721943e-05,0.00010779210339600363,4.9153042200166506e-05,errors/single_diode_exponential__hidden_3__hidden_64/cross_layer_rel_l1_percentiles_node_weighted.json,current replacement corrected CD
3,128,48.8608387298882,48.8608387298882,0.9222,17.852777777777778,cd_metadata/single_diode_exponential__hidden_3__hidden_128/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_3__hidden_128/validation_metadata.json,0.22122206632047892,1735.8700188575312,1737.1067777266726,2026-05-18/19,<paper-source-results>/digits_simulations/single_diode_exponential/hidden_3/hidden_128/spice_validation_triplet_input_gain17_20260518/ep_epoch3_92p22/validation/validation_inputs_layer0_spice_layers_metadata.json,1.5294108879205354e-05,1.598938975750635e-05,1.6545759740551542e-05,1.7971906357158892e-05,errors/single_diode_exponential__hidden_3__hidden_128/cross_layer_rel_l1_percentiles_node_weighted.json,accepted EP epoch3 corrected CD
3,256,132.08557521551847,132.08557521551847,0.8443999999999999,67.78333333333333,cd_metadata/single_diode_exponential__hidden_3__hidden_256/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_3__hidden_256/validation_metadata.json,0.643432220997056,12969.395701476999,12971.06097890799,2026-03-25 19:28:27,hidden_3/hidden_256/validation_states_spice_layers_metadata.json,2.0456824652754404e-05,9.895623232375704e-05,0.00021310969472071055,3.517597562053801e-05,errors/single_diode_exponential__hidden_3__hidden_256/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
3,512,46.41906458605081,46.41906458605081,0.8306,17.0,cd_metadata/single_diode_exponential__hidden_3__hidden_512/validation_runtime.log,cd_metadata/single_diode_exponential__hidden_3__hidden_512/validation_metadata.json,,,,,,,,,,,corrected CD-only no SPICE reference
