case,accuracy_pct,correct,total,source,input_gain,voltage_amp,current_amp,batch_size,exp_clip,max_newton_iters,rel_tol,vn_tol,num_iterations,overrelaxation_factor,p90_node_weighted_rel_l1,has_spice_npz,bundle_spice_npz,has_error_json,bundle_error_json,has_cd_metadata,bundle_cd_metadata,bundle_cd_timing_log,original_spice_npz_path,original_error_path,original_cd_run_dir,notes,has_config_json,bundle_config_json,original_config_path,has_weight_checkpoint,bundle_weight_checkpoint,original_weight_checkpoint_path,has_cd_npz,bundle_cd_npz_files
double_diode_exponential/hidden_1/hidden_64,95.00,342,360,corrected CD-only against existing SPICE,10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,1.2,1.4629384112930124e-05,True,spice_npz/double_diode_exponential__hidden_1__hidden_64/validation_states_spice_layers.npz,True,errors/double_diode_exponential__hidden_1__hidden_64/cross_layer_rel_l1_percentiles_node_weighted.json,True,cd_metadata/double_diode_exponential__hidden_1__hidden_64/validation_metadata.json,cd_metadata/double_diode_exponential__hidden_1__hidden_64/validation_runtime.log,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_64/spice/validation_states_spice_layers.npz,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_64/20260519-071510_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_64/20260519-071510_double_diode_exponential,batch=1 exp_clip=165 max_newton=8,True,configs/double_diode_exponential__hidden_1__hidden_64/config.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_1/hidden_64/config_override.json,True,weights/double_diode_exponential__hidden_1__hidden_64/weights.pt,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_64/weights/weights.pt,True,cd_npz/double_diode_exponential__hidden_1__hidden_64/validation_states.npz
double_diode_exponential/hidden_1/hidden_128,91.67,330,360,corrected CD-only against existing SPICE,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.2,9.949713560947013e-06,True,spice_npz/double_diode_exponential__hidden_1__hidden_128/validation_states_spice_layers.npz,True,errors/double_diode_exponential__hidden_1__hidden_128/cross_layer_rel_l1_percentiles_node_weighted.json,True,cd_metadata/double_diode_exponential__hidden_1__hidden_128/validation_metadata.json,cd_metadata/double_diode_exponential__hidden_1__hidden_128/validation_runtime.log,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_128/spice/validation_states_spice_layers.npz,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_128/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_128/20260519-071501_double_diode_exponential,batch=1 exp_clip=165 max_newton=8,True,configs/double_diode_exponential__hidden_1__hidden_128/config.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_1/hidden_128/config_override.json,True,weights/double_diode_exponential__hidden_1__hidden_128/weights.pt,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_128/weights/weights.pt,True,cd_npz/double_diode_exponential__hidden_1__hidden_128/validation_states.npz
double_diode_exponential/hidden_1/hidden_256,95.56,344,360,corrected CD-only against existing SPICE,10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,1.2,1.2551255418012064e-05,True,spice_npz/double_diode_exponential__hidden_1__hidden_256/validation_states_spice_layers.npz,True,errors/double_diode_exponential__hidden_1__hidden_256/cross_layer_rel_l1_percentiles_node_weighted.json,True,cd_metadata/double_diode_exponential__hidden_1__hidden_256/validation_metadata.json,cd_metadata/double_diode_exponential__hidden_1__hidden_256/validation_runtime.log,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_256/spice/validation_states_spice_layers.npz,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_256/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_256/20260519-071501_double_diode_exponential,batch=1 exp_clip=165 max_newton=8,True,configs/double_diode_exponential__hidden_1__hidden_256/config.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_1/hidden_256/config_override.json,True,weights/double_diode_exponential__hidden_1__hidden_256/weights.pt,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_256/weights/weights.pt,True,cd_npz/double_diode_exponential__hidden_1__hidden_256/validation_states.npz
double_diode_exponential/hidden_1/hidden_512,96.11,346,360,corrected CD-only against existing SPICE,10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,1.2,1.2465699447067399e-05,True,spice_npz/double_diode_exponential__hidden_1__hidden_512/validation_states_spice_layers.npz,True,errors/double_diode_exponential__hidden_1__hidden_512/cross_layer_rel_l1_percentiles_node_weighted.json,True,cd_metadata/double_diode_exponential__hidden_1__hidden_512/validation_metadata.json,cd_metadata/double_diode_exponential__hidden_1__hidden_512/validation_runtime.log,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_512/spice/validation_states_spice_layers.npz,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_512/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_512/20260519-071501_double_diode_exponential,batch=1 exp_clip=165 max_newton=8,True,configs/double_diode_exponential__hidden_1__hidden_512/config.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_1/hidden_512/config_override.json,True,weights/double_diode_exponential__hidden_1__hidden_512/weights.pt,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_512/weights/weights.pt,True,cd_npz/double_diode_exponential__hidden_1__hidden_512/validation_states.npz
double_diode_exponential/hidden_1/hidden_1024,95.00,342,360,corrected CD-only against existing SPICE,10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,1.2,1.2742411463990392e-05,True,spice_npz/double_diode_exponential__hidden_1__hidden_1024/validation_states_spice_layers.npz,True,errors/double_diode_exponential__hidden_1__hidden_1024/cross_layer_rel_l1_percentiles_node_weighted.json,True,cd_metadata/double_diode_exponential__hidden_1__hidden_1024/validation_metadata.json,cd_metadata/double_diode_exponential__hidden_1__hidden_1024/validation_runtime.log,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_1024/spice/validation_states_spice_layers.npz,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_1024/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_1024/20260519-071501_double_diode_exponential,batch=1 exp_clip=165 max_newton=8,True,configs/double_diode_exponential__hidden_1__hidden_1024/config.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_1/hidden_1024/config_override.json,True,weights/double_diode_exponential__hidden_1__hidden_1024/weights.pt,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_1024/weights/weights.pt,True,cd_npz/double_diode_exponential__hidden_1__hidden_1024/validation_states.npz
double_diode_exponential/hidden_2/hidden_64,93.89,338,360,corrected CD-only against existing SPICE,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,1.7628393070412995e-05,True,spice_npz/double_diode_exponential__hidden_2__hidden_64/validation_states_spice_layers.npz,True,errors/double_diode_exponential__hidden_2__hidden_64/cross_layer_rel_l1_percentiles_node_weighted.json,True,cd_metadata/double_diode_exponential__hidden_2__hidden_64/validation_metadata.json,cd_metadata/double_diode_exponential__hidden_2__hidden_64/validation_runtime.log,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_64/spice/validation_states_spice_layers.npz,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_64/20260519-071519_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_64/20260519-071519_double_diode_exponential,batch=1 exp_clip=165 max_newton=8,True,configs/double_diode_exponential__hidden_2__hidden_64/config.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_2/hidden_64/config_override.json,True,weights/double_diode_exponential__hidden_2__hidden_64/weights.pt,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_64/weights/weights.pt,True,cd_npz/double_diode_exponential__hidden_2__hidden_64/validation_states.npz
double_diode_exponential/hidden_2/hidden_128,94.44,340,360,corrected CD-only against existing SPICE,10.0,4.0,1.0,1,165,8,1e-05,1e-06,64,1.4,1.2459982658328006e-05,True,spice_npz/double_diode_exponential__hidden_2__hidden_128/validation_states_spice_layers.npz,True,errors/double_diode_exponential__hidden_2__hidden_128/cross_layer_rel_l1_percentiles_node_weighted.json,True,cd_metadata/double_diode_exponential__hidden_2__hidden_128/validation_metadata.json,cd_metadata/double_diode_exponential__hidden_2__hidden_128/validation_runtime.log,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_128/spice/validation_states_spice_layers.npz,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_128/20260519-071511_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_128/20260519-071511_double_diode_exponential,batch=1 exp_clip=165 max_newton=8,True,configs/double_diode_exponential__hidden_2__hidden_128/config.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_2/hidden_128/config_override.json,True,weights/double_diode_exponential__hidden_2__hidden_128/weights.pt,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_128/weights/weights.pt,True,cd_npz/double_diode_exponential__hidden_2__hidden_128/validation_states.npz
double_diode_exponential/hidden_2/hidden_256,93.61,337,360,corrected CD-only against existing SPICE,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,2.0202539953113604e-05,True,spice_npz/double_diode_exponential__hidden_2__hidden_256/validation_states_spice_layers.npz,True,errors/double_diode_exponential__hidden_2__hidden_256/cross_layer_rel_l1_percentiles_node_weighted.json,True,cd_metadata/double_diode_exponential__hidden_2__hidden_256/validation_metadata.json,cd_metadata/double_diode_exponential__hidden_2__hidden_256/validation_runtime.log,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_256/spice/validation_states_spice_layers.npz,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_256/20260519-071512_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_256/20260519-071512_double_diode_exponential,batch=1 exp_clip=165 max_newton=8,True,configs/double_diode_exponential__hidden_2__hidden_256/config.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_2/hidden_256/config_override.json,True,weights/double_diode_exponential__hidden_2__hidden_256/weights.pt,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_256/weights/weights.pt,True,cd_npz/double_diode_exponential__hidden_2__hidden_256/validation_states.npz
double_diode_exponential/hidden_2/hidden_512,93.33,336,360,corrected CD-only against existing SPICE,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,2.6923844157675913e-05,True,spice_npz/double_diode_exponential__hidden_2__hidden_512/validation_states_spice_layers.npz,True,errors/double_diode_exponential__hidden_2__hidden_512/cross_layer_rel_l1_percentiles_node_weighted.json,True,cd_metadata/double_diode_exponential__hidden_2__hidden_512/validation_metadata.json,cd_metadata/double_diode_exponential__hidden_2__hidden_512/validation_runtime.log,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_512/spice/validation_states_spice_layers.npz,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_512/20260519-071513_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_512/20260519-071513_double_diode_exponential,batch=1 exp_clip=165 max_newton=8,True,configs/double_diode_exponential__hidden_2__hidden_512/config.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_2/hidden_512/config_override.json,True,weights/double_diode_exponential__hidden_2__hidden_512/weights.pt,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_512/weights/weights.pt,True,cd_npz/double_diode_exponential__hidden_2__hidden_512/validation_states.npz
double_diode_exponential/hidden_2/hidden_1024,86.11,310,360,corrected CD-only no SPICE reference,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,,False,,False,,True,cd_metadata/double_diode_exponential__hidden_2__hidden_1024/validation_metadata.json,cd_metadata/double_diode_exponential__hidden_2__hidden_1024/validation_runtime.log,,,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_excluded_expclip165_maxnewton8_20260520-20260520-135414/double_diode_exponential/hidden_2/hidden_1024/20260520-135417_double_diode_exponential,CD rerun only; no fixed SPICE NPZ/error reference available,True,configs/double_diode_exponential__hidden_2__hidden_1024/config.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_excluded_expclip165_maxnewton8_20260520-20260520-135414/configs/double_diode_exponential/hidden_2/hidden_1024/config_override.json,True,weights/double_diode_exponential__hidden_2__hidden_1024/weights.pt,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_1024/weights/weights.pt,True,cd_npz/double_diode_exponential__hidden_2__hidden_1024/validation_states.npz
