case,source,accuracy,excluded_2x1024_or_3x512,spice_npz_present,spice_npz_path,error_present,error_path,cd_timing_run_present,cd_timing_run_dir,source_detail
double_diode_exponential/hidden_1/hidden_64,corrected CD-only against existing SPICE,342/360 (95.00%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_64/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_64/20260519-071510_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_64/20260519-071510_double_diode_exponential,breakdown
double_diode_exponential/hidden_1/hidden_128,corrected CD-only against existing SPICE,330/360 (91.67%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_128/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_128/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_128/20260519-071501_double_diode_exponential,breakdown
double_diode_exponential/hidden_1/hidden_256,corrected CD-only against existing SPICE,344/360 (95.56%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_256/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_256/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_256/20260519-071501_double_diode_exponential,breakdown
double_diode_exponential/hidden_1/hidden_512,corrected CD-only against existing SPICE,346/360 (96.11%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_512/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_512/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_512/20260519-071501_double_diode_exponential,breakdown
double_diode_exponential/hidden_1/hidden_1024,corrected CD-only against existing SPICE,342/360 (95.00%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_1024/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_1024/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_1024/20260519-071501_double_diode_exponential,breakdown
double_diode_exponential/hidden_2/hidden_64,corrected CD-only against existing SPICE,338/360 (93.89%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_64/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_64/20260519-071519_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_64/20260519-071519_double_diode_exponential,breakdown
double_diode_exponential/hidden_2/hidden_128,corrected CD-only against existing SPICE,340/360 (94.44%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_128/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_128/20260519-071511_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_128/20260519-071511_double_diode_exponential,breakdown
double_diode_exponential/hidden_2/hidden_256,corrected CD-only against existing SPICE,337/360 (93.61%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_256/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_256/20260519-071512_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_256/20260519-071512_double_diode_exponential,breakdown
double_diode_exponential/hidden_2/hidden_512,corrected CD-only against existing SPICE,336/360 (93.33%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_512/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_512/20260519-071513_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_512/20260519-071513_double_diode_exponential,breakdown
double_diode_exponential/hidden_2/hidden_1024,corrected CD-only no SPICE reference,310/360 (86.11%),True,False,,False,,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_excluded_expclip165_maxnewton8_20260520-20260520-135414/double_diode_exponential/hidden_2/hidden_1024/20260520-135417_double_diode_exponential,audit
double_diode_exponential/hidden_3/hidden_64,current replacement corrected CD,331/360 (91.94%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/double_diode_replacement_reruns_maxicao_20260518-124819/double_diode_exponential_3x64/20260518-124823_double_diode_exponential/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/double_diode_replacement/double_diode_exponential_3x64/20260519-071644_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/double_diode_replacement/double_diode_exponential_3x64/20260519-071644_double_diode_exponential,breakdown
double_diode_exponential/hidden_3/hidden_128,April29 timing CD,346/360 (96.11%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_3/hidden_128/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/double_diode_exponential/hidden_3/hidden_128/20260429-103928_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/double_diode_exponential/hidden_3/hidden_128/20260429-103928_double_diode_exponential,audit
double_diode_exponential/hidden_3/hidden_256,current replacement corrected CD,325/360 (90.28%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/double_diode_3x256_parallel_20260518-192037/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/double_diode_replacement/double_diode_exponential_3x256/20260519-071630_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/double_diode_replacement/double_diode_exponential_3x256/20260519-071630_double_diode_exponential,breakdown
double_diode_exponential/hidden_3/hidden_512,corrected CD-only no SPICE reference,331/360 (91.94%),True,False,,False,,True,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_excluded_expclip165_maxnewton8_20260520-20260520-135414/double_diode_exponential/hidden_3/hidden_512/20260520-135417_double_diode_exponential,audit
experimental/hidden_1/hidden_64,April29 timing CD,342/360 (95.00%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_64/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_64/20260429-104122_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_64/20260429-104122_experimental,audit
experimental/hidden_1/hidden_128,April29 timing CD,330/360 (91.67%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_128/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_128/20260429-104137_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_128/20260429-104137_experimental,audit
experimental/hidden_1/hidden_256,April29 timing CD,344/360 (95.56%),False,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/experimental/hidden_1/hidden_256/spice/validation_states_spice_layers.npz,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_256/20260429-104143_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,True,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_256/20260429-104143_experimental,audit
