case,source,accuracy_pct,correct,total,input_gain,voltage_amp,current_amp,batch_size,exp_clip,max_newton_iters,rel_tol,vn_tol,num_iterations,overrelaxation_factor,notes,run_dir
double_diode_exponential/hidden_1/hidden_64,corrected CD-only against existing SPICE,95.00,342,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,1.2,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_64/20260519-071510_double_diode_exponential
double_diode_exponential/hidden_1/hidden_128,corrected CD-only against existing SPICE,91.67,330,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.2,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_128/20260519-071501_double_diode_exponential
double_diode_exponential/hidden_1/hidden_256,corrected CD-only against existing SPICE,95.56,344,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,1.2,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_256/20260519-071501_double_diode_exponential
double_diode_exponential/hidden_1/hidden_512,corrected CD-only against existing SPICE,96.11,346,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,1.2,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_512/20260519-071501_double_diode_exponential
double_diode_exponential/hidden_1/hidden_1024,corrected CD-only against existing SPICE,95.00,342,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,1.2,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_1024/20260519-071501_double_diode_exponential
double_diode_exponential/hidden_2/hidden_64,corrected CD-only against existing SPICE,93.89,338,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_64/20260519-071519_double_diode_exponential
double_diode_exponential/hidden_2/hidden_128,corrected CD-only against existing SPICE,94.44,340,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,64,1.4,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_128/20260519-071511_double_diode_exponential
double_diode_exponential/hidden_2/hidden_256,corrected CD-only against existing SPICE,93.61,337,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_256/20260519-071512_double_diode_exponential
double_diode_exponential/hidden_2/hidden_512,corrected CD-only against existing SPICE,93.33,336,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_512/20260519-071513_double_diode_exponential
double_diode_exponential/hidden_2/hidden_1024,corrected CD-only no SPICE reference,86.11,310,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,CD rerun only; no fixed SPICE NPZ/error reference available,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_excluded_expclip165_maxnewton8_20260520-20260520-135414/double_diode_exponential/hidden_2/hidden_1024/20260520-135417_double_diode_exponential
double_diode_exponential/hidden_3/hidden_64,current replacement corrected CD,91.94,331,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.2,CD rerun uses batch=1 exp_clip=165 max_newton=8 against existing SPICE,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/double_diode_replacement/double_diode_exponential_3x64/20260519-071644_double_diode_exponential
double_diode_exponential/hidden_3/hidden_128,April29 timing CD,96.11,346,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,original April29 timing CD row,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/double_diode_exponential/hidden_3/hidden_128/20260429-103928_double_diode_exponential
double_diode_exponential/hidden_3/hidden_256,current replacement corrected CD,90.28,325,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,single-process SPICE timing still failed; accuracy is from corrected CD validation,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/double_diode_replacement/double_diode_exponential_3x256/20260519-071630_double_diode_exponential
double_diode_exponential/hidden_3/hidden_512,corrected CD-only no SPICE reference,91.94,331,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,CD rerun only; no fixed SPICE NPZ/error reference available,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_excluded_expclip165_maxnewton8_20260520-20260520-135414/double_diode_exponential/hidden_3/hidden_512/20260520-135417_double_diode_exponential
experimental/hidden_1/hidden_64,April29 timing CD,95.00,342,360,10.0,4.0,1.0,1,100,100,1e-05,1e-06,512,1.0,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_64/20260429-104122_experimental
experimental/hidden_1/hidden_128,April29 timing CD,91.67,330,360,10.0,4.0,1.0,1,100,8,1e-05,1e-06,512,1.0,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_128/20260429-104137_experimental
experimental/hidden_1/hidden_256,April29 timing CD,95.56,344,360,10.0,4.0,1.0,1,100,8,1e-05,1e-06,512,1.0,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_256/20260429-104143_experimental
experimental/hidden_1/hidden_512,April29 timing CD,96.11,346,360,10.0,4.0,1.0,1,100,8,1e-05,1e-06,512,1.0,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_512/20260429-104155_experimental
experimental/hidden_1/hidden_1024,April29 timing CD,95.00,342,360,10.0,4.0,1.0,1,100,8,1e-05,1e-06,512,1.0,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_1024/20260429-104207_experimental
experimental/hidden_2/hidden_64,April29 timing CD,93.89,338,360,10.0,4.0,1.0,1,200,8,1e-05,1e-06,512,1,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_2/hidden_64/20260429-104220_experimental
experimental/hidden_2/hidden_128,April29 timing CD,94.44,340,360,10.0,4.0,1.0,1,200,8,1e-05,1e-06,512,1,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_2/hidden_128/20260429-104234_experimental
experimental/hidden_2/hidden_256,April29 timing CD,93.61,337,360,10.0,4.0,1.0,1,200,8,1e-05,1e-06,512,1,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_2/hidden_256/20260429-104250_experimental
experimental/hidden_2/hidden_512,April29 timing CD,93.33,336,360,10.0,4.0,1.0,1,200,8,1e-05,1e-06,512,1,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_2/hidden_512/20260429-104308_experimental
experimental/hidden_2/hidden_1024,April29 timing CD,86.11,310,360,10.0,4.0,1.0,1,200,8,1e-05,1e-06,512,1,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_2/hidden_1024/20260429-104341_experimental
experimental/hidden_3/hidden_64,April29 timing CD,82.50,297,360,10.0,4.0,1.0,1,100000.0,32,1e-05,1e-06,512,1,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_3/hidden_64/20260429-104439_experimental
experimental/hidden_3/hidden_128,April29 timing CD,96.11,346,360,10.0,4.0,1.0,1,165,32,1e-05,1e-05,512,1,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_3/hidden_128/20260429-104457_experimental
experimental/hidden_3/hidden_256,April29 timing CD,82.78,298,360,10.0,4.0,1.0,1,100000.0,32,1e-05,1e-06,256,1,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_3/hidden_256/20260429-104531_experimental
experimental/hidden_3/hidden_512,April29 timing CD,91.94,331,360,10.0,4.0,1.0,1,100000.0,32,1e-05,1e-06,256,1,original April29 timing CD row; experimental not rerun per instruction,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_3/hidden_512/20260429-104546_experimental
single_diode_exponential/hidden_1/hidden_64,current replacement,91.39,329,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,1,accepted high-accuracy replacement,<source-tree>/labs/figures_for_paper_digits/timings/high_accuracy_replacement_reruns_maxicao_20260518-114011/single_diode_exponential_1x64/20260518-114015_single_diode_exponential
single_diode_exponential/hidden_1/hidden_128,April29 timing CD,95.00,342,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.2,original April29 timing CD row,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_1/hidden_128/20260429-104705_single_diode_exponential
single_diode_exponential/hidden_1/hidden_256,corrected CD-only against existing SPICE,95.56,344,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,1,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_256/20260519-071553_single_diode_exponential
single_diode_exponential/hidden_1/hidden_512,corrected CD-only against existing SPICE,96.39,347,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,1,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_512/20260519-071556_single_diode_exponential
single_diode_exponential/hidden_1/hidden_1024,corrected CD-only against existing SPICE,97.50,351,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,1,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_1/hidden_1024/20260519-071553_single_diode_exponential
single_diode_exponential/hidden_2/hidden_64,April29 timing CD,85.56,308,360,10.0,2.0,1.0,1,165,8,1e-05,1e-06,512,1.4,original April29 timing CD row,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_2/hidden_64/20260429-104741_single_diode_exponential
single_diode_exponential/hidden_2/hidden_128,April29 timing CD,93.89,338,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,original April29 timing CD row,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/single_diode_exponential/hidden_2/hidden_128/20260429-104801_single_diode_exponential
single_diode_exponential/hidden_2/hidden_256,corrected CD-only against existing SPICE,89.44,322,360,10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,1.4,batch=1 exp_clip=165 max_newton=8,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/single_diode_exponential/hidden_2/hidden_256/20260519-071601_single_diode_exponential
