case,accuracy,included,node_weighted_p90_rel_l1,error_path,source
double_diode_exponential/hidden_1/hidden_64,342/360 (95.00%),True,1.4629384112930124e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_64/20260519-071510_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
double_diode_exponential/hidden_1/hidden_128,330/360 (91.67%),True,9.949713560947013e-06,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_128/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
double_diode_exponential/hidden_1/hidden_256,344/360 (95.56%),True,1.2551255418012064e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_256/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
double_diode_exponential/hidden_1/hidden_512,346/360 (96.11%),True,1.2465699447067399e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_512/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
double_diode_exponential/hidden_1/hidden_1024,342/360 (95.00%),True,1.2742411463990392e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_1024/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
double_diode_exponential/hidden_2/hidden_64,338/360 (93.89%),True,1.7628393070412995e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_64/20260519-071519_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
double_diode_exponential/hidden_2/hidden_128,340/360 (94.44%),True,1.2459982658328006e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_128/20260519-071511_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
double_diode_exponential/hidden_2/hidden_256,337/360 (93.61%),True,2.0202539953113604e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_256/20260519-071512_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
double_diode_exponential/hidden_2/hidden_512,336/360 (93.33%),True,2.6923844157675913e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_512/20260519-071513_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,corrected CD-only against existing SPICE
double_diode_exponential/hidden_2/hidden_1024,310/360 (86.11%),False,,,corrected CD-only no SPICE reference
double_diode_exponential/hidden_3/hidden_64,331/360 (91.94%),True,1.2784065671213276e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/double_diode_replacement/double_diode_exponential_3x64/20260519-071644_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,current replacement corrected CD
double_diode_exponential/hidden_3/hidden_128,346/360 (96.11%),True,1.1884189835438427e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/double_diode_exponential/hidden_3/hidden_128/20260429-103928_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
double_diode_exponential/hidden_3/hidden_256,325/360 (90.28%),True,1.2686052573413274e-05,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/double_diode_replacement/double_diode_exponential_3x256/20260519-071630_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,current replacement corrected CD
double_diode_exponential/hidden_3/hidden_512,331/360 (91.94%),False,,,corrected CD-only no SPICE reference
experimental/hidden_1/hidden_64,342/360 (95.00%),True,1.581163261449674e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_64/20260429-104122_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
experimental/hidden_1/hidden_128,330/360 (91.67%),True,1.675365216377257e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_128/20260429-104137_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
experimental/hidden_1/hidden_256,344/360 (95.56%),True,1.2833556392655314e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_256/20260429-104143_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
experimental/hidden_1/hidden_512,346/360 (96.11%),True,1.2572153556988855e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_512/20260429-104155_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
experimental/hidden_1/hidden_1024,342/360 (95.00%),True,1.2744305948747641e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_1/hidden_1024/20260429-104207_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
experimental/hidden_2/hidden_64,338/360 (93.89%),True,7.972110660028444e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_2/hidden_64/20260429-104220_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
experimental/hidden_2/hidden_128,340/360 (94.44%),True,1.3564627225389795e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_2/hidden_128/20260429-104234_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
experimental/hidden_2/hidden_256,337/360 (93.61%),True,7.413528342685774e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_2/hidden_256/20260429-104250_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
experimental/hidden_2/hidden_512,336/360 (93.33%),True,9.135707282779661e-05,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/reruns_maxicao_20260429-103559/experimental/hidden_2/hidden_512/20260429-104308_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,April29 timing CD
experimental/hidden_2/hidden_1024,310/360 (86.11%),False,,,April29 timing CD
