group,case_id,purpose,status,accuracy_pct,correct,total,non_linearity,dims,input_gain,voltage_amp,current_amp,batch_size,exp_clip,max_newton_iters,rel_tol,vn_tol,num_iterations,use_polish,updater,overrelaxation_factor,p90_node_weighted_rel_l1,spice_netlist_seconds,spice_simulation_seconds,spice_total_seconds,notes,run_dir,config_path,p90_source,spice_npz,spice_timing_source,weights_path
cd_only_overrides_existing_spice,april29_self_contained/double_diode_exponential/hidden_1/hidden_1024,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,95.0,342,360,double_diode_exponential,"[128, 1024, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,True,float64_overrelaxed,1.2,1.2742411463990392e-05,,,,old_p90=1.274241146399039e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_1024/20260519-071501_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_1/hidden_1024/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_1024/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_1024/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/double_diode_exponential/hidden_1/hidden_128,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,91.66666666666666,330,360,double_diode_exponential,"[128, 128, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,True,float64_overrelaxed,1.2,9.949713560947013e-06,,,,old_p90=9.949713560947013e-06; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_128/20260519-071501_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_1/hidden_128/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_128/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_128/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/double_diode_exponential/hidden_1/hidden_256,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,95.55555555555556,344,360,double_diode_exponential,"[128, 256, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,True,float64_overrelaxed,1.2,1.2551255418012064e-05,,,,old_p90=1.255125541801206e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_256/20260519-071501_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_1/hidden_256/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_256/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_256/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/double_diode_exponential/hidden_1/hidden_512,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,96.11111111111111,346,360,double_diode_exponential,"[128, 512, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,True,float64_overrelaxed,1.2,1.2465699447067399e-05,,,,old_p90=1.24656994470674e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_512/20260519-071501_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_1/hidden_512/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_512/20260519-071501_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_512/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/double_diode_exponential/hidden_1/hidden_64,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,95.0,342,360,double_diode_exponential,"[128, 64, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,128,True,float64_overrelaxed,1.2,1.4629384112930124e-05,,,,old_p90=1.462938411293012e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_64/20260519-071510_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_1/hidden_64/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_1/hidden_64/20260519-071510_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_1/hidden_64/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/double_diode_exponential/hidden_2/hidden_128,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,94.44444444444444,340,360,double_diode_exponential,"[128, 128, 128, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,64,True,float64_overrelaxed,1.4,1.2459982658328006e-05,,,,old_p90=1.245998265832801e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_128/20260519-071511_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_2/hidden_128/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_128/20260519-071511_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_128/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/double_diode_exponential/hidden_2/hidden_256,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,93.61111111111111,337,360,double_diode_exponential,"[128, 256, 256, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,True,float64_overrelaxed,1.4,2.0202539953113604e-05,,,,old_p90=2.02025399531136e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_256/20260519-071512_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_2/hidden_256/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_256/20260519-071512_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_256/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/double_diode_exponential/hidden_2/hidden_512,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,93.33333333333333,336,360,double_diode_exponential,"[128, 512, 512, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,True,float64_overrelaxed,1.4,2.6923844157675913e-05,,,,old_p90=2.692384415767591e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_512/20260519-071513_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_2/hidden_512/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_512/20260519-071513_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_512/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/double_diode_exponential/hidden_2/hidden_64,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,93.88888888888889,338,360,double_diode_exponential,"[128, 64, 64, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,True,float64_overrelaxed,1.4,1.7628393070412995e-05,,,,old_p90=1.762839307041299e-05; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_64/20260519-071519_double_diode_exponential,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_2/hidden_64/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_2/hidden_64/20260519-071519_double_diode_exponential/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_2/hidden_64/weights/weights.pt
cd_only_overrides_existing_spice,april29_self_contained/double_diode_exponential/hidden_3/hidden_256,CD-only rerun with batch_size=1 exp_clip=165 max_newton_iters=8 against fixed existing SPICE,ok,89.16666666666667,321,360,hard_sigmoid,"[128, 256, 256, 256, 20]",10.0,4.0,1.0,1,165,8,1e-05,1e-06,512,True,float64_overrelaxed,1.4,0.24621223644100587,,,,old_p90=0.2462122364410059; ratio=1; drastic_change=False,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_3/hidden_256/20260519-071529_hard_sigmoid,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/configs/april29_self_contained/double_diode_exponential/hidden_3/hidden_256/config_override.json,<source-tree>/labs/figures_for_paper_digits/timings/cd_validation_existing_spice_overrides_20260519-20260519-071458/april29_self_contained/double_diode_exponential/hidden_3/hidden_256/20260519-071529_hard_sigmoid/error_npz_vs_existing_spice/cross_layer_rel_l1_percentiles_node_weighted.json,,,<source-tree>/labs/figures_for_paper_digits/timings/final_selected_runs_self_contained/runs/double_diode_exponential/hidden_3/hidden_256/weights/weights.pt
