nonlinearity,hidden_layers,hidden_size,mean_absolute_error,p50_relative_error,p90_relative_error,p99_relative_error,error_summary_rel_path
single_diode_exponential,1,64,7.290407714375069e-06,1.2726722557755487e-05,1.5541532226706025e-05,1.80510290087901e-05,errors/single_diode_exponential__hidden_1__hidden_64/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,1,128,1.8574508165669157e-05,1.5054379625322689e-05,1.6141491180403056e-05,1.7065126493845526e-05,errors/single_diode_exponential__hidden_1__hidden_128/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,1,256,1.878841706321934e-05,1.5544758336115e-05,1.636078529540565e-05,1.7008958154866965e-05,errors/single_diode_exponential__hidden_1__hidden_256/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,1,512,5.603816391152659e-06,1.0955888309981236e-05,1.1681781091374962e-05,1.2324224728352332e-05,errors/single_diode_exponential__hidden_1__hidden_512/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,1,1024,5.780894847681815e-06,1.0756369210771385e-05,1.1361879585504223e-05,1.203690147003218e-05,errors/single_diode_exponential__hidden_1__hidden_1024/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,2,64,4.110582433934714e-06,1.1754778033763392e-05,1.3910690885327073e-05,1.633232321869456e-05,errors/single_diode_exponential__hidden_2__hidden_64/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,2,128,4.587890991576341e-06,9.680207065881174e-06,1.078949246537758e-05,1.210302756247464e-05,errors/single_diode_exponential__hidden_2__hidden_128/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,2,256,1.9262830340919558e-06,1.8181854224156492e-05,2.0558013715895263e-05,2.213703597229747e-05,errors/single_diode_exponential__hidden_2__hidden_256/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,2,512,1.9042811539749805e-06,3.170335529260898e-05,3.813103517614537e-05,4.1071876465069786e-05,errors/single_diode_exponential__hidden_2__hidden_512/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,2,1024,,,,,
